title,Service,filter,description,weighted_keywords
Allow External Sharing for Specific SPO Sites,SharePoint & OneDrive,management,"This PowerShell script enables ""Anyone"" (external) sharing for specific SharePoint Online sites. It can allow external sharing for one or many sites while restricting the rest, and logs every change applied.",external sharing:10;enable external sharing:9;anyone links:8;guest access:8;site sharing settings:8;SharePoint site sharing:7;allow sharing specific sites:7;restrict sharing:6;sharing policy:6;site collection:5
Anonymous Link Activity Report,SharePoint & OneDrive,auditing,"This PowerShell script audits all the anonymous link activities such as link creation, updation, removal, access and export the report to CSV file.",anonymous links:10;anyone links:9;link activity audit:9;anonymous sharing:8;shareable links:7;guest links:7;link creation:6;sharing activity:6;link removal:5
App Registrations with Expiring Certificates & Client Secrets,Security & Identity,reporting,Learn how to get app registrations with expiring client secrets and certificates using PowerShell to avoid downtime & app risks.,expiring client secrets:10;app registration expiry:10;certificate expiry:9;client secret:8;app credentials:8;expiring certificates:8;service principal:6;app downtime:5
Archive Mailbox Size Report,Exchange,reporting,"The PowerShell script exports Office 365 archive mailbox size report to CSV file along with archive quota, archive status, archive name, unlimited archiving.",archive mailbox size:10;online archive:9;in-place archive:8;archive quota:8;archive status:7;mailbox archive report:7;unlimited archiving:6;auto-expanding archive:5;storage:4
Audit Compromised User Activities from a Specific Session,Security & Identity,auditing,The script helps security teams rebuild the user's activity timeline by collecting session ID-based audit logs in a consistent and easy-to-analyze format.,compromised account:10;session id audit:9;user activity timeline:8;incident investigation:8;breach investigation:7;forensics:7;suspicious activity:6;security incident:6
Audit DLP Rule Matches in M365,Security & Identity,auditing,"Execute the PowerShell script to exclusively audit DLP policy matches across workloads like Exchange, SharePoint, OneDrive, and Teams.",DLP:10;data loss prevention:10;DLP rule match:9;DLP policy:8;sensitive data:7;policy match:6;Purview:6;compliance audit:5
Audit Email Deletion in Office 365,Exchange,auditing,This PowerShell script helps to find who deleted email from the mailboxes and exports email deletion audit records to CSV file.,email deletion audit:10;who deleted email:9;deleted emails:9;hard delete:7;soft delete:7;message deletion:7;mailbox forensics:5
Audit Entra App Operations,Security & Identity,auditing,"This PowerShell script audits Microsoft Entra ID application operations such as app registration creation, permission changes, and deletions. It helps admins track who changed which app and when, strengthening app governance.",app registration audit:10;Entra app operations:9;app permission changes:8;app deletion:7;consent changes:7;service principal audit:6;app governance:6;who changed app:6
Audit External User Activity,Security & Identity,auditing,"The script helps to audit external user activities and identify suspicious incidents, which lead to sensitive data leakage, security threats, and attacks.",external user activity:10;guest activity:9;guest user audit:8;B2B activity:7;suspicious activity:6;external collaboration:5;data leakage:5
Audit Failed Signin Attempts in Entra,Security & Identity,auditing,Export all Microsoft 365 failed login attempts with PowerShell script to identify unauthorized access attempts and address potential security risks before they escalate.,failed sign-in:10;failed login:10;sign-in failures:9;unauthorized access attempts:7;brute force:6;login errors:6;sign-in error codes:5
Audit File Access in SPO,SharePoint & OneDrive,auditing,Audit file access in SharePoint Online using PowerShell to prevent unauthorized access for effective SharePoint Online management.,file access audit:10;who accessed file:9;document access:8;file viewed:7;SharePoint file access:7;unauthorized access:6;OneDrive:4
Audit File Activities in SPO,SharePoint & OneDrive,auditing,"Audit file activities in SharePoint Online and OneDrive to identify suspicious activities, excessive privileges, and safeguard data.",file activities:10;file operations audit:9;document activity:8;SharePoint file audit:7;OneDrive activity:7;file events:6;suspicious file activity:5
Audit File Deletion,SharePoint & OneDrive,auditing,"This PowerShell script helps to audit file deletion in SharePoint and OneDrive for Business. With this report, admins can identify who deleted files in O365.",file deletion audit:10;who deleted file:9;deleted files:9;document deletion:8;SharePoint deletion:7;OneDrive deletion:7;recycle bin:5
Audit File Downloads in SPO,SharePoint & OneDrive,auditing,Audit file downloads in SharePoint Online and OneDrive using PowerShell to pinpoint who downloaded what file and when.,file download audit:10;who downloaded:9;file downloads:9;document download:8;data exfiltration:7;SharePoint download:7;OneDrive download:6
Audit File Sharing in Microsoft Teams,MS Teams,auditing,Track file-sharing activity logs in Microsoft Teams to ensure data protection and compliance by auditing shared files across teams.,Teams file sharing:10;shared files audit:9;file sharing activity:8;Teams documents:6;sharing audit:6;data protection:4
Audit Group Membership Changes,Entra,auditing,Effortlessly audit group membership changes in Microsoft 365 with this PowerShell script. Access granular reports for robust security!,group membership changes:10;added removed members:9;membership audit:8;security group changes:7;who added member:7;group changes:6
Audit M365 Admins Activities,Security & Identity,auditing,Audit Microsoft 365 admin activity using PowerShell to ensure appropriate use of admin privileges and enhance your Microsoft 365 security.,admin activity audit:10;administrator actions:9;privileged actions:8;admin audit log:7;admin privilege misuse:6
Audit M365 User Creations,Entra,auditing,This PowerShell script helps to find who created a user account in Microsoft 365 with ease. Download the script now and identify the suspicious accounts.,who created user:10;user creation audit:9;new user accounts:8;account creation:8;user provisioning:6;suspicious accounts:5
Audit Mailbox Permission Changes,Exchange,auditing,"This PowerShell script helps to audit mailbox permission changes, such as adding and removing full access, send as & send on behalf permissions in Office 365.",mailbox permission changes:10;delegate permission audit:8;full access changes:8;send as changes:8;send on behalf:7;permission audit:6
Audit MS Teams Channel Creations,MS Teams,auditing,Audit Microsoft Teams channel creations using PowerShell to ensure efficient resource management and security in the organization.,channel creation audit:10;who created channel:8;new channel:8;Teams channel audit:8
Audit MS Teams Membership Changes,MS Teams,auditing,"This PowerShell script helps admins to audit Teams membership changes, including private and shared channel membership to ensure data security.",Teams membership changes:10;added removed members:8;private channel membership:7;shared channel membership:7;team members audit:7
Audit Office 365 External Sharing Activity,SharePoint & OneDrive,auditing,This PowerShell script audits external sharing activities in SharePoint Online & OneDrive and exports external sharing reports to CSV.,external sharing audit:10;guest sharing:8;sharing activity:8;SharePoint sharing audit:7;anonymous sharing:7;OneDrive sharing:6;anyone links:6
Audit Office 365 User Activity Report,Security & Identity,auditing,"This PowerShell script exports Office 365 user's activity report to a CSV file with Activity Time, User, Operation, Result, Workload and Detailed Audit info.",user activity audit:10;audit log export:8;activity report:8;unified audit log:7;user actions:7;workload audit:5
Audit PIM Role Activations and Deactivations,Security & Identity,auditing,Audit PIM role activations and deactivations in Microsoft Entra to maintain control over privileged access and detect unusual admin activity.,PIM:10;privileged identity management:10;role activation:9;PIM audit:9;eligible role:7;just-in-time access:6;JIT:6;privileged access:6
Audit Recently Created M365 Users,Entra,auditing,This PowerShell script helps to find who created a user account in Microsoft 365 with ease. Download the script now and identify the suspicious accounts.,recently created users:10;new user accounts:9;who created user:8;account creation audit:7;user provisioning:5
Audit Send As emails,Exchange,reporting,This PowerShell script helps to audit Send As emails and finds who sent email from the delegated mailbox using Send As permission.,send as audit:10;who sent email:8;send as permission:8;delegated mailbox:7;send on behalf:6;impersonation:5
Audit Shared Mailbox Activities,Exchange,auditing,Learn how to audit shared mailbox activities with PowerShell to streamline mailbox management and enhance security.,shared mailbox audit:10;shared mailbox activity:9;delegate activity:7;mailbox audit:6
Audit SPO Folder Activities,SharePoint & OneDrive,auditing,Discover an easy way to track folder activities in SharePoint and OneDrive using a versatile PowerShell script.,folder activities:10;folder audit:9;folder operations:8;SharePoint folder:7;OneDrive folder:6
Audit SPO Group Membership Changes,SharePoint & OneDrive,auditing,This PowerShell script helps admin to audit SharePoint group membership changes and permission changes & export the report to CSV file.,SharePoint group changes:10;site group membership:9;site permission changes:8;group membership audit:7
Audit Teams meetings,MS Teams,auditing,This PowerShell script helps to audit Microsoft Teams meetings and their participants list.,Teams meeting audit:10;meeting participants:8;who attended meeting:7;online meetings:7
Audit User Account Status Changes,Entra,auditing,Use this PowerShell script to quickly audit when user accounts are disabled or re-enabled in Microsoft 365.,account status changes:10;disabled account audit:9;enabled disabled users:8;blocked sign-in:7;who disabled account:7
Audit Who Deleted Emails From Shared Mailboxes,Exchange,auditing,"This PowerShell script helps to audit shared mailbox email deletion and exports key details such as deletion time, users who deleted emails, deletion type, no.of deleted emails, email subjects, folder name, and more.",shared mailbox email deletion:10;who deleted email:9;deleted emails:8;shared mailbox audit:7;deletion type:5
Auto Archive Inactive Teams in MS Teams,MS Teams,management,Not sure how to handle inactive Microsoft Teams? Learn how to auto-archive inactive teams in Microsoft Teams to ensure security while keeping all your conversations and files accessible.,archive inactive teams:10;auto archive teams:9;stale teams:8;teams cleanup:7;teams lifecycle:6;dormant teams:6
Automate Compromised Account Remediation,Security & Identity,management,"Automates 8 essential best practices for remediating a compromised Microsoft 365 account, helping you respond quickly and consistently.",compromised account remediation:10;incident response:9;account breach:7;revoke sessions:7;disable account:7;reset password:6;security automation:5
Automate M365 User Offboarding,Entra,management,"Try this quick, secure, and comprehensive PowerShell script to automate Microsoft 365 user offboarding.",user offboarding:10;offboard user:9;deprovisioning:8;employee exit:7;leaver:7;terminate user:7;disable user:6;remove licenses:5
Automate Outlook Signature - Deploy Once and Forget It,Exchange,management,"Learn how to automate email signatures to have standard signature within tenant, ensure brand consistency, and more to improve efficiency.",email signature:10;outlook signature:9;signature deployment:8;standard signature:7;branding:6
